question,result
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| title                                         | description                                                                                                                                                                                                                                                     | variety                  | country   | region        | winery         | province   |
| Dr. Pauly Bergweiler 2009 Wehlener Sonnenuhr Auslese Riesling (Mosel) | Sweet, verging on honeyed, this lush wine features plenty of superripe apples balanced by just a dash of citrus and a hint of bitterness on the finish. Could use more complexity.                                                                                                                                                                            | Riesling  | Germany   | Mosel       | Dr. Pauly Bergweiler | Mosel       |"
"I enjoy bold flavors, could you recommend a robust red wine?","| title                                                 | description                                                                                                                                                                                                                                                                                                                                                     | variety                  | country   | region      | winery                   | province       |
|:------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:----------|:------------|:-------------------------|:---------------|
| RdV 2010 Rendezvous Red (Virginia)                    | Bold aromas of black plum, licorice and chocolate mark the nose, with accents of turmeric and dried herb adding interest. This medium- to full-bodied Bordeaux-style red blend is confident and muscular, bearing toasty and chocolaty flavors. The finish is warm, structured and enduring.                                                                    | Bordeaux-style Red Blend | US        | Virginia    | RdV                      | Virginia       |
| Bock 2000 Cuvée Barrique Red (Villány)                | The rich, spicy and savory nose evoke the food for which the country is known, and this wine would undoubtedly pair well with full-bodied, spiced meats and stews. Its full, spicy nose leads into dependable flavors of red berry, wooded spice and pepper, with a slightly bitter, smoked edge. Not a terribly complex wine, but solid and tasty nonetheless. | Bordeaux-style Red Blend | Hungary   | Villány     | Bock                     | Villány        |
| Law 2012 Audacious Red (Paso Robles)                  | Ripe and rich, this blend of 45% Syrah, 30% Cabernet Sauvignon and 25% Grenache punches strong with cherry blossom, olallieberry, vanilla, melted chocolate and violet aromas. Dill and anise pop up at the tip of the sip, then veer into cigar smoke, elderberry fruit and graphite. It's quite grippy with tannins.                                          | Red Blend                | US        | Paso Robles | Law                      | California     |
| Bodegas Franco-Españolas 2007 Bordón Reserva  (Rioja) | Fiery berry and cherry aromas emerge with a hint of milk chocolate. This wine feels high in acidity, with raspberry, tart red plum and spice flavors that finish with citrusy snap and grittiness.                                                                                                                                                              | Tempranillo Blend        | Spain     | Rioja       | Bodegas Franco-Españolas | Northern Spain |
| Wise Villa 2013 Wisdom of Wise Red (Placer County)    | Boldly flavored and slightly sweet, this blend of mostly Merlot and Cabernet Sauvignon smells jammy, tastes ripe and juicy and has a fairly smooth texture with a touch of tannin. The flavors resemble black berry and sweet red cherry, the body is full and the finish is fruity.                                                                            | Red Blend                | US        | Placer      | Wise Villa               | California     |"
Can you suggest a red wine that's rich with blackberry or plum flavors?,"| title                                                                | description                                                                                                                                                                                                                                                                                  | variety                  | country      | region               | winery          | province   |
|:---------------------------------------------------------------------|:---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:-------------|:---------------------|:----------------|:-----------|
| Ded.Reckoning 2013 Plunder Cabernet Sauvignon (Columbia Valley (WA)) | Immediately appealing, this draws you into the glass with dark plums and blackberries accented by barrel spices. It's medium bodied with a silky feel, plush fruit flavors, and a lingering, fruit-filled, almost irresistible open finish.                                                  | Cabernet Sauvignon       | US           | Columbia Valley (WA) | Ded.Reckoning   | Washington |
| Stephen Vincent 2005 Crimson Red (California)                        | Rich in cherry, blackberry, raspberry and herb flavors, this Rhône blend has sweet-and-sour berry-cherry flavors. It's rich in dry, furry tannins. Needs something big and meaty to soften it, like beef stew.                                                                               | Red Blend                | US           | California           | Stephen Vincent | California |
| Gratavinum 2009 2?R Red (Priorat)                                    | Immediately this presents itself as being a big, potent package. Smoky, dark aromas are briary and heady. This is huge in the mouth, with blackberry and wild herb flavors. A finish of chocolate, fig and prune is rich but right for the gig. Drink through 2018.                          | Red Blend                | Spain        | Priorat              | Gratavinum      | Catalonia  |
| Doolhof 2008 Lady in Red Red (Wellington)                            | Black currant leaf and juicy plum guts abound on the nose of this Bordeaux-style blend, and those aromas transition into the dominating flavors of the palate alongside suggestions of pepper and sweet smoked meat. Balanced, with fine tannins and a clean but lingering finish.           | Bordeaux-style Red Blend | South Africa | Wellington           | Doolhof         | Wellington |
| RdV 2010 Rendezvous Red (Virginia)                                   | Bold aromas of black plum, licorice and chocolate mark the nose, with accents of turmeric and dried herb adding interest. This medium- to full-bodied Bordeaux-style red blend is confident and muscular, bearing toasty and chocolaty flavors. The finish is warm, structured and enduring. | Bordeaux-style Red Blend | US           | Virginia             | RdV             | Virginia   |"
What's a good white wine with a luscious mouthfeel and a touch of sweetness?,"| title                                                             | description                                                                                                                                                                                                                                                                                                                                                 | variety         | country   | region               | winery          | province           |
|:------------------------------------------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------|:----------|:---------------------|:----------------|:-------------------|
| Kontos 2013 Gossamer White (Columbia Valley (WA))                 | Lively and full-bodied, the blend includes Chardonnay, Marsanne, Roussanne and Pinot Gris. Citrus fruits fill the mouth, with a streak of honey and appealing roundness. This is a great wine to just drink and enjoy, without too much contemplation.                                                                                                      | White Blend     | US        | Columbia Valley (WA) | Kontos          | Washington         |
| Lis Neris 2007 Tal Lùc White (Friuli)                             | Tal Lùc comes in an elegant little bottle that beautifully sets the stage for the fabulous dessert wine to follow. The color is deeply golden and saturated and aromas include toasted almond, dried yellow rose, candied fruit and apricot. The creamy texture would pair with something different than dessert, say a delicate sliver of duck liver pâté. | White Blend     | Italy     | Friuli               | Lis Neris       | Northeastern Italy |
| Steven Kent 2013 Lola Sauvignon Blanc (Livermore Valley)          | A bold white wine, it smells and tastes like grapefruit, canteloupe and very crisp apples. It has a fresh, acidic texture that cleans the palate and makes the mouth water, but wraps in enough richness for good balance.                                                                                                                                  | Sauvignon Blanc | US        | Livermore Valley     | Steven Kent     | California         |
| Murrieta's Well 2011 The Whip White Wine White (Livermore Valley) | A wisp of a white blend, this is mostly Chardonnay and Sémillon, with 9% Orange Muscat that comes through most powerfully and pleasantly on the nose. It's a light wine that's meant to be enjoyed chilled. With its ripe stone-fruit flavors and minerality, it's perfect for pairing with appetizers of all sorts.                                        | White Blend     | US        | Livermore Valley     | Murrieta's Well | California         |
| Ferrari-Carano 2011 Bella Luna White (Sonoma County)              | So sugary sweet, it might be a dessert wine. A blend of Chardonnay, Sauvignon Blanc, Muscat Canelli and Gewürztraminer, it's fruity and spicy and honeyed, brightened with crisp acidity.                                                                                                                                                                   | White Blend     | US        | Sonoma               | Ferrari-Carano  | California         |"
What's a fruity red wine?,"| title                                                             | description                                                                                                                                                                                                                                                                                 | variety                  | country   | region        | winery              | province   |
|:------------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:----------|:--------------|:--------------------|:-----------|
| Record Family Wines 2010 Randy's Red Grenache-Syrah (Paso Robles) | A simple, rustic wine, with jammy raspberry, red currant and cocoa flavors. There's a metallic taste that may or may not be related to thre screwtop.                                                                                                                                       | Grenache-Syrah           | US        | Paso Robles   | Record Family Wines | California |
| St. Francis 2006 RED Red (Sonoma County)                          | Rustic and fruity, with jammy flavors of cherries, raspberries, mocha and spices. Drink with short ribs.                                                                                                                                                                                    | Red Blend                | US        | Sonoma        | St. Francis         | California |
| The Boneyard 2012 An Unrefined Red Wine Red (Virginia)            | Red fruit notes of currant and cherry are bright, with a slightly spicy undertone and zesty acidity. This light-bodied blend of Cabernet Sauvignon, Mourvèdre, Dornfleder and Cabernet Franc is accessible and easy, with mild tannins providing just enough structure to hold it together. | Red Blend                | US        | Virginia      | The Boneyard        | Virginia   |
| Peter Franus 2006 Red Wine Red (Napa Valley)                      | Quite a good wine, with Cabernet-esque blackberries and black currants, and a rich toastiness from charred oak. Feels a little angular and jammy in youth. Give it two or three years in the cellar to soften and mellow.                                                                   | Bordeaux-style Red Blend | US        | Napa Valley   | Peter Franus        | California |
| Westwood 2006 redFOUR Red (Sonoma Valley)                         | An offbeat blend of red and white varieties, this is a simple, fruity, tart wine. The raspberry and cherry flavors have an edge of lime acidity.                                                                                                                                            | Red Blend                | US        | Sonoma Valley | Westwood            | California |"
Are there any white wines with a strong presence of pear or apple flavors?,"| title                                                       | description                                                                                                                                                                                                                                                | variety     | country   | region            | winery                | province         |
|:------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:------------|:----------|:------------------|:----------------------|:-----------------|
| Tarara 2008 Charval White Table Wine White (Virginia)       | Apples and pears dominate the nose and palate of this blend of Chardonnay, Sauvignon Blanc and Pinot Gris. Full bodied and fermented in stainless steel, this slightly off-dry wine is rich in texture, but stays fresh with a vibrant lemon-lime acidity. | White Blend | US        | Virginia          | Tarara                | Virginia         |
| Antonio Cesar Cavalli 2007 White Pearl Chardonnay (Mendoza) | Waxy aromas of scented candles and canned pears define the nose. The palate is low on acid and thus tastes soft and remotely of Bartlett pear and peach. Light on the finish; thus it needs to be drunk now.                                               | Chardonnay  | Argentina | Mendoza           | Antonio Cesar Cavalli | Mendoza Province |
| Palaia Vineyards NV Pearl White (New York)                  | Hints of popcorn and buttered toast accent flavors of pressed apple and pear on this easygoing semisweet Cayuga. It's delicate in frame, finishing with a bright burst of lemon-candy acidity.                                                             | White Blend | US        | New York          | Palaia Vineyards      | New York         |
| EOS 2014 Reserve White (Santa Ynez Valley)                  | Faint aromas of Anjou pear and Gala apple are shy to rise off this bottling. Baked apple and pear notes also come through on the palate, with a hint of honey and a noticeably grippy texture.                                                             | White Blend | US        | Santa Ynez Valley | EOS                   | California       |
| Antonio Cesar Cavalli 2008 White Pearl Chardonnay (Mendoza) | Hints of wisteria and lemon blossom give this dilute Chardonnay a respectable bouquet, while the palate is mild and tastes like bites of lemon, apple and orange. There's not much weight or stuffing to it, but it's generally clean and inoffensive.     | Chardonnay  | Argentina | Mendoza           | Antonio Cesar Cavalli | Mendoza Province |"
I'm interested in a wine from the Barossa Valley region.,"| title                                                              | description                                                                                                                                                                                                                                                                                                                                                    | variety            | country   | region         | winery                    | province        |
|:-------------------------------------------------------------------|:---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------|:----------|:---------------|:--------------------------|:----------------|
| Grant Burge 2000 Barossa Vines Shiraz (Barossa Valley)             | Packed with grapey, plummy fruit, smoke and vanilla, this is solid entry-level stuff. It's not particularly rich or concentrated, but it is something that's uncommon at this price: balanced. That makes it an attractive by-the-glass option or barbecue companion. —J.C.                                                                                    | Shiraz             | Australia | Barossa Valley | Grant Burge               | South Australia |
| Hamilton's Ewell Vineyard 2000 Railway Chardonnay (Barossa Valley) | The warm climate of the Barossa is reflected in the heavy, sweet fruit flavors. The melon, guava and honey aromas and flavors lack zip and definition but certainly don't lack for ripeness.                                                                                                                                                                   | Chardonnay         | Australia | Barossa Valley | Hamilton's Ewell Vineyard | South Australia |
| Thorn Clarke 2013 Terra Barossa Cabernet Sauvignon (Barossa)       | A terrific value if you can find it (alas, only 150 cases were imported), this is full bodied and richly textured, marrying hints of peppery spice with grilled lavender and rosemary that perfectly season the beach cherry and mocha flavors. It's stout, tannic and mouth coating on the finish, ideal for matching with roasts or steaks. Drink 2018–2025. | Cabernet Sauvignon | Australia | Barossa        | Thorn Clarke              | South Australia |
| Château Tanunda 2012 Grand Barossa Cabernet Sauvignon (Barossa)    | This is a well-priced example of Barossa Cabernet, laden with characteristic notes of chocolate, mint and berry fruit, wrapped in a layer of toasty oak. It's full bodied, yet easy to drink because of the soft tannins and mouthwatering finish. Probably best between now and 2020.                                                                         | Cabernet Sauvignon | Australia | Barossa        | Château Tanunda           | South Australia |
| Peter Lehmann 2013 Portrait Shiraz (Barossa)                       | This is a pretty traditional example of Barossa Shiraz, with oak-derived elements of vanilla, chocolate and a touch of dill backed by bold blackberry and deep cherry fruit. It's round and full on the palate, with a finish that fades easily into dusty notes of espresso and cocoa. Drink now–2020.                                                        | Shiraz             | Australia | Barossa        | Peter Lehmann             | South Australia |"
"I'd like a sparkling wine, excluding Merlot.","| title                                                                          | description                                                                                                                                                                                                                                                                                                                         | variety         | country   | region              | winery            | province         |
|:-------------------------------------------------------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------|:----------|:--------------------|:------------------|:-----------------|
| Cave Extrême NV Cuvée Speciale Sparkling (Mendoza)                             | Quite neutral and distant on the nose, with dry apple flavors working the soft, balanced palate. There are complexities such as white pepper and nutty nuances, but in the end it's an average sparkler with a controlled approach. Good for Argentina but probably not ready to compete with the world's best $20 sparkling wines. | Sparkling Blend | Argentina | Mendoza             | Cave Extrême      | Mendoza Province |
| Yorkville Cellars 2011 Estate Grown Cuvee Brut Sparkling (Yorkville Highlands) | This is refreshing and quite dry, with fragrant fruit cocktail aromas and subtle, spare flavors that suggest it would be a great oyster wine. Made from 51% Sémillon along with other grapes it's interesting enough to serve during dinner as well as an apéritif.                                                                 | Sparkling Blend | US        | Yorkville Highlands | Yorkville Cellars | California       |
| Lo Sparviere 2007 Extra Brut Chardonnay (Franciacorta)                         | Made entirely with Chardonnay, this pretty sparkler opens with aromas of white flower, peach and citrus backed up by a whiff of bread crust. The vibrant palate delivers Bartlett pear, mature apple, lemon zest and toasted almond alongside a soft perlage.                                                                       | Chardonnay      | Italy     | Franciacorta        | Lo Sparviere      | Lombardy         |
| Bodkin NV Extra Dry Cuvee Januariis Blanc de Sauvignon Blanc (Lake County)     | A slightly different flavor spectrum makes this pale-colored, lean and crisp sparkling wine stand out. With notes of honeydew melon and cucumber, and great balance from juicy acidity, it tastes slightly sweet and as refreshing as those fruit descriptors would suggest.                                                        | Sauvignon Blanc | US        | Lake                | Bodkin            | California       |
| Scharffenberger NV Brut Rosé Excellence Sparkling (Mendocino)                  | This is a classy bottle of bubbly from the light copper color to the lightly fruity, yeasty aromas to the crisp mouthfeel and satisfying spice and raspberry flavors. A sense of layered richness is balanced by good acidity for balance.                                                                                          | Sparkling Blend | US        | Mendocino           | Scharffenberger   | California       |"
Are there any red wines with a touch of earthiness and cherry undertones?,"| title                                                                  | description                                                                                                                                                                                                                                                                                                                                            | variety                  | country   | region               | winery              | province     |
|:-----------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:----------|:---------------------|:--------------------|:-------------|
| Caldera 2010 The Earth Speaks Red (Paso Robles)                        | This blend of 45% Cabernet Sauvignon, 30% Merlot and 25% Cabernet Franc is still quite fresh for being seven-years-old, offering aromas of concentrated red-cherry juice, allspice, sandalwood and nose-tickling cinnamon. Cedar and myrrh flavors lead the woody palate, where a buoyant acidity lifts up the red cherry and tart red-currant fruits. | Bordeaux-style Red Blend | US        | Paso Robles          | Caldera             | California   |
| Terroirs et Talents 2006 Château de la Terrière  (Beaujolais-Villages) | A hint of wood is a good sign of the richness and balance of this wine. There is some dryness and tautness to go with its black cherry and plum-skin flavors. There is a big and bold fruity aftertaste.                                                                                                                                               | Gamay                    | France    | Beaujolais-Villages  | Terroirs et Talents | Beaujolais   |
| Toulouse 2011 Estate Pinot Noir (Anderson Valley)                      | The color—a rather light garnet going to brownish—suggests an older wine or one made with rustic methods, and the flavors travel the same path. An earthy quality shades modest cherry flavors, while hints of clove and cinnamon add complexity.                                                                                                      | Pinot Noir               | US        | Anderson Valley      | Toulouse            | California   |
| Undurraga 2014 U Estate Grown Cabernet Sauvignon (Rapel Valley)        | Earthy plum and cherry aromas are cool and lightly herbal. This feels juicy and tight, but clean. Flavors of herbal plum are a touch roasted, while this everyday Cab finishes spicy and the slightest bit green.                                                                                                                                      | Cabernet Sauvignon       | Chile     | Rapel Valley         | Undurraga           | Rapel Valley |
| Rochioli 2015 Estate Grown Pinot Noir (Russian River Valley)           | Cherry spice and earthy compost meet in this well-made, full-bodied wine from a warm vintage. Despite its density and concentration, it's freshened by bright acidity and a streak of cinnamon cola that lasts into the finish.                                                                                                                        | Pinot Noir               | US        | Russian River Valley | Rochioli            | California   |"
Is there a wine that is not too oaky?,"| title                                                                       | description                                                                                                                                                                                                                                                                                 | variety    | country   | region               | winery                       | province   |
|:----------------------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------|:----------|:---------------------|:-----------------------------|:-----------|
| Raymond 2012 Small Lot Collection Barrel-Fermented Chardonnay (Napa Valley) | Way too oaky, with buttered toast, honey and caramel flavors dominating. The underlying wine, which is crisp in acidity and suggests limes, peaches and apricots, just isn't strong enough to handle all that oak.                                                                          | Chardonnay | US        | Napa Valley          | Raymond                      | California |
| Bonneau 2005 Catherine's Vineyard Chardonnay (Carneros)                     | This is too oaky. The wine is just overwhelmed by charry toast and strong, spicy oak wood flavors. Some people confuse the taste of Chardonnay with the taste of oak, but they are not the same.                                                                                            | Chardonnay | US        | Carneros             | Bonneau                      | California |
| Woodbridge by Robert Mondavi 2011 Lightly Oaked Chardonnay (California)     | This is lightly oaked, with pleasant Chardonnay flavors of oranges, limes and mangoes. However, it's too sweet, with a sugary finish that makes it cloying.                                                                                                                                 | Chardonnay | US        | California           | Woodbridge by Robert Mondavi | California |
| Woodinville Wine Cellars 2004 O.M.O. Red (Columbia Valley (WA))             | Plenty of deep color, thick tannin and dark streaks of smoke and tar make this a stand-up steakhouse wine. The fruit does have an herbal edge but it is lingering, complex and interesting. Think of it as the vinous equivalent of a cello-viola sonata—dark and mysteriously intertwined. | Red Blend  | US        | Columbia Valley (WA) | Woodinville Wine Cellars     | Washington |
| Saracina 2015 Unoaked Chardonnay (Mendocino County)                         | This is a fresh-tasting wine with great balance that doesn't have oaky flavors or a thick texture. It has refreshing acidity, subtle apple and spice notes and a palate-cleansing texture. Fine enough and subtle enough to drink frequently.                                               | Chardonnay | US        | Mendocino            | Saracina                     | California |"
I'm looking for a red wine with a good balance between oakiness and fruitiness. Any recommendations?,"| title                                                              | description                                                                                                                                                                                                                                                   | variety                  | country   | region                | winery       | province       |
|:-------------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:----------|:----------------------|:-------------|:---------------|
| Navarro 2013 Navarrouge Red (Mendocino)                            | Need a recommendation for a good house wine? This medium-bodied red has moderate fruit flavors, good structure from acidity and tannins, and a nice feeling of completeness. It is a catch-all blend of Zinfandel, Pinot Noir and four other grape varieties. | Red Blend                | US        | Mendocino             | Navarro      | California     |
| Peter Franus 2006 Red Wine Red (Napa Valley)                       | Quite a good wine, with Cabernet-esque blackberries and black currants, and a rich toastiness from charred oak. Feels a little angular and jammy in youth. Give it two or three years in the cellar to soften and mellow.                                     | Bordeaux-style Red Blend | US        | Napa Valley           | Peter Franus | California     |
| Lucienne 2010 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands) | This wine shows the richness of the vineyard, offering flashy flavors of raspberry and cherry jam, licorice, brown sugar and  smoky oak. Balanced with bright acidity, this is meant to be consumed now and over the next few years.                          | Pinot Noir               | US        | Santa Lucia Highlands | Lucienne     | California     |
| Oak Grove 2012 Family Reserve Cabernet Sauvignon (California)      | Agreeable and smooth, this tastes pro-actively flavored with oak. The wood character comes out as flavors of maple syrup, vanilla and clove in addition to the plum and raspberry notes from the grapes. It's good, commercial-quality red wine.              | Cabernet Sauvignon       | US        | California            | Oak Grove    | California     |
| El Coto 1998 Crianza  (Rioja)                                      | Smoky oak and dark cherry fruit with herb accents complement each other well in this medium-weight, even red. Leathery hints add complexity, and this tasty, straightforward Rioja never get harsh or astringent. Drink now–2004. —M.M.                       | Tempranillo              | Spain     | Rioja                 | El Coto      | Northern Spain |"
I'm interested in trying a red wine with a bold and peppery character. Any ideas?,"| title                                            | description                                                                                                                                                                                                                                                                                                                                                     | variety                  | country   | region      | winery      | province   |
|:-------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:----------|:------------|:------------|:-----------|
| Peirano 2006 The Other Red (Lodi)                | Lusty and robust, this Cab, Merlot and Syrah blend combines peppery, briary flavors with riper fruit notes of blackberries and plums. The texture is especially appealing, with its rich, complex tannins, from both the grapes and from oak. Good job in a dry red wine at a fair price.                                                                       | Red Blend                | US        | Lodi        | Peirano     | California |
| Bock 2000 Cuvée Barrique Red (Villány)           | The rich, spicy and savory nose evoke the food for which the country is known, and this wine would undoubtedly pair well with full-bodied, spiced meats and stews. Its full, spicy nose leads into dependable flavors of red berry, wooded spice and pepper, with a slightly bitter, smoked edge. Not a terribly complex wine, but solid and tasty nonetheless. | Bordeaux-style Red Blend | Hungary   | Villány     | Bock        | Villány    |
| Girard 2011 Artistry Red (Napa Valley)           | Clove and peppercorn give this an herbal edge around juicy cranberry and cassis. All five of the classic Bordeaux red varieties are represented here, with Cabernet Sauvignon the majority. The finish is tannic and oaky, but mellows over time.                                                                                                               | Bordeaux-style Red Blend | US        | Napa Valley | Girard      | California |
| Vina Robles 2006 Red Huerhuero Red (Paso Robles) | Opens with a blast of freshly ground black peppercorns, and that peppery tastes travels into the flavor. A very unusual and distinctive wine, it's absolutely, refreshingly dry, with richer notes of cherries, currants and tangerine zest, finishing with a swirl of spicy anise, clove and cinnamon.                                                         | Red Blend                | US        | Paso Robles | Vina Robles | California |
| Hendry 2008 RED Red (Napa Valley)                | There's lots of ripe, jammy blackberry and cherry fruits in this Petit Verdot-based blend. It's dry, robust, spicy and a little rustic. Drink it now with pizza or a burger.                                                                                                                                                                                    | Bordeaux-style Red Blend | US        | Napa Valley | Hendry      | California |"
What's a light-bodied white wine?,"| title                                                             | description                                                                                                                                                                                                                                                                                                                                                        | variety     | country   | region               | winery          | province   |
|:------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:------------|:----------|:---------------------|:----------------|:-----------|
| René Barbier NV Mediterranean White White (Catalonia)             | Very light, even thin, this white lacks the stuffing sought in a simple quaffing white. There are no overtly off-putting elements here, there's just not much here at all. —M.M.                                                                                                                                                                                   | White Blend | Spain     | Catalonia            | René Barbier    | Catalonia  |
