Question,Result
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| Title                                                    | Description                                                                                                                                                                                                                                                         | Variety    | Country   | Region                 | Winery                      | Province      |
| SOLID 2012 Proprietary Red (California)                              | Bold, well structured and nicely dry, this wine has plenty of dark-red color, appetizing black-cherry and wild-berry aromas, and ample but not overripe fruit flavors. A full-bodied, grown-up kind of wine, it doesn't overdo anything and will be great at the dinner table.                                                                                                   | Red Blend                | US        | California            | SOLID               | California     |
| Château de Lisennes 2011 Cuvée Tradition  (Bordeaux Supérieur)       | This bold, fruity wine is all red berries and ripe cherry flavors. It has good juiciness, soft tannins and it will be ready to drink soon. A bright wine, with great acidity at the end.                                                                                                                                                                                         | Bordeaux-style Red Blend | France    | Bordeaux Supérieur    | Château de Lisennes | Bordeaux       |
| Rare NV 4 Grape Blend Red (California)                               | Here's a good, robust red wine. It's made in a country-style, with tobacco, cherry and spice flavors and a jagged mouthfeel. Drink it with tacos and burgers.                                                                                                                                                                                                                    | Red Blend                | US        | California            | Rare                | California     |
| Fontanavecchia 2007 Vigna Cataratte Riserva  (Aglianico del Taburno) | Here's a bold wine that opens with aromas of underbrush, tilled soil and black plum. The juicy palate delivers ripe blackberry and rich black cherry accented by cinnamon, black pepper, chocolate and licorice. This is a big wine with enveloping, velvety tannins. The only drawback here is the evident alcohol, but the fruit is delicious. This at its peak so drink soon. | Aglianico                | Italy     | Aglianico del Taburno | Fontanavecchia      | Southern Italy |
| Leese-Fitch 2014 Firehouse Red (California)                          | Bold and spicy, this dry wine is saturated with toasty oak and vanilla flavors over plum and prune. Made from mostly Petite Sirah and Syrah, it has medium body and a smooth texture.                                                                                                                                                                                            | Red Blend                | US        | California            | Leese-Fitch         | California     |"
Can you suggest a red wine that's rich with blackberry or plum flavors?,"| Title                                                                    | Description                                                                                                                                                                                                                                                                                                                                        | Variety            | Country   | Region           | Winery                       | Province         |
|:-------------------------------------------------------------------------|:---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------|:----------|:-----------------|:-----------------------------|:-----------------|
| Adega Cooperativa do Cartaxo 2013 Bridão Clássico Red (Tejo)             | A ripe, smooth and richly fruity wine that has a well-integrated structure. Flavors of generous blackberry and red plums are lightly touched by acidity. The wine is ready to drink.                                                                                                                                                               | Portuguese Red     | Portugal  | Tejo             | Adega Cooperativa do Cartaxo | Tejo             |
| Wines & Winemakers 2008 Aguia Moura Em Vinhas Velhas Reserva Red (Douro) | A powerful and concentrated wine, this shows the region's dark and tannic side. The black plum and juicy black-currant flavors shine, and wood aging has smoothed the palate, which makes it feel dense and fully mature.                                                                                                                          | Portuguese Red     | Portugal  | Douro            | Wines & Winemakers           | Douro            |
| Stag's Leap Wine Cellars 2012 Artemis Cabernet Sauvignon (Napa Valley)   | A rich, full-bodied wine with small amounts of Merlot and Malbec, this offers sizable tannins that wrap themselves around dark, brooding fruit and smoky oak. Blackberry and plum intertwine around luxurious chocolate and tobacco, complementing one another on the finish.                                                                      | Cabernet Sauvignon | US        | Napa Valley      | Stag's Leap Wine Cellars     | California       |
| Monteviejo 2014 Festivo Malbec (Mendoza)                                 | Boisterous black plum and blackberry aromas properly announce an extra grabby palate with rock-hard tannins. This tastes like roasted plum, cassis and blackened spices. Tannic and dry as a bone on the finish, with a savory note.                                                                                                               | Malbec             | Argentina | Mendoza          | Monteviejo                   | Mendoza Province |
| Colomé 2007 Reserva Malbec (Calchaquí Valley)                            | Big, dark, sweet and jammy on the nose, with earthy, candied, sweet aromas of ripe blackberry and herbs. The palate delivers bouncy, showy acidity, while the flavors of black cherry, dark plum and chocolate are solid and rewarding. A little pruney on deeper inspection, with a leathery quality to the wine's depth. Drink now through 2013. | Malbec             | Argentina | Calchaquí Valley | Colomé                       | Other            |"
What's a good white wine with a luscious mouthfeel and a touch of sweetness?,"| Title                                                                    | Description                                                                                                                                                                                                                                                           | Variety                    | Country   | Region             | Winery                    | Province           |
|:-------------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------------------|:----------|:-------------------|:--------------------------|:-------------------|
| Charles de Fère NV Réserve Blanc de Blancs Brut Sparkling (Vin Mousseux) | This smooth, creamy wine is attractively fruity with pleasant white fruit and almond flavors. The palate is soft, finishing with a hint of caramel.                                                                                                                   | Sparkling Blend            | France    | Vin Mousseux       | Charles de Fère           | France Other       |
| Banear 2006 Mamàn White (Delle Venezie)                                  | A luminous Italian white wine offersing subdued tones of stone fruit, white mineral and honey. There's an aromatic component that is reminiscent of mint and the wine is clean and easy in the mouth with a vibrant, fresh finish.                                    | White Blend                | Italy     | Delle Venezie      | Banear                    | Northeastern Italy |
| Gancia NV Grand Reale White (Piedmont)                                   | Here is a sweet and fragrant dessert wine with aromas of white flower, honey and stone fruit accented by a slightly drying mineral characteristic. Firm, tonic effervescence keeps the palate refreshed even when paired with whipped cream or creamy fruit desserts. | White Blend                | Italy     | Piedmont           | Gancia                    | Piedmont           |
| Donnafugata 2007 Chiarandà  (Contessa Entellina)                         | This is an absolutely beautiful white wine (made from a bland of Ansonica and Chardonnay) that delivers rich and opulent tones of stone fruit, mon blossom. The wine excels in the mouth thanks to its richness and smooth creaminess.                                | White Blend                | Italy     | Contessa Entellina | Donnafugata               | Sicily & Sardinia  |
| Château Bastor Lamontagne 2008 BL de Bastor-Lamontagne  (Bordeaux Blanc) | This dry white shows softness and a light, creamy, gentle touch. The wine has apricot and fresh lime juice flavors, opening easily as it gets air to finish well-rounded but properly crisp.                                                                          | Bordeaux-style White Blend | France    | Bordeaux Blanc     | Château Bastor Lamontagne | Bordeaux           |"
What's a fruity red wine?,"| Title                                                    | Description                                                                                                                                                                                                         | Variety        | Country   | Region        | Winery                | Province     |
|:---------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|:----------|:--------------|:----------------------|:-------------|
| Dão Sul 2009 Cortello Tinto Red (Lisboa)                 | Fruity red berry-flavored wine, with attractive light tannins, plenty of acidity and an earthy edge. There's a touch of pepper, the finish showing fine acidity.                                                    | Portuguese Red | Portugal  | Lisboa        | Dão Sul               | Lisboa       |
| Barton & Guestier 2011 Bistro Pinot Noir (Ile de Beauté) | Soft and fruity with some sweetness, this red-fruit-flavored wine is rounded and warm, crispened by acidity.                                                                                                        | Pinot Noir     | France    | Ile de Beauté | Barton & Guestier     | France Other |
| Companhia das Quintas 2006 Farizoa Red (Alentejano)      | Fruity and ripe, this is a spicy wine, with red cherry and berry flavors, livened by dried raisins. There is a rustic edge that puts it simply in its place, but the acidity is fine and so is the dry tannic core. | Portuguese Red | Portugal  | Alentejano    | Companhia das Quintas | Alentejano   |
| Cartuxa 2014 Vinea Tinto Red (Alentejano)                | Made to be drunk young, this is a fruity red berry flavored wine. It has a bright crisp edge to its fruit as well as light tannins and acidity. It is quite ready to drink.                                         | Portuguese Red | Portugal  | Alentejano    | Cartuxa               | Alentejano   |
| Rovisco Garcia 2010 Tinto Red (Alentejano)               | A fruity style of red, it is made to be drunk young, possibly even lightly chilled. It has soft tannins plus a fine balance between the berry fruits and acidity that go with a warm, ripe feel. Drink now.         | Portuguese Red | Portugal  | Alentejano    | Rovisco Garcia        | Alentejano   |"
Are there any white wines with a strong presence of pear or apple flavors?,"| Title                                                                  | Description                                                                                                                                                                                         | Variety    | Country   | Region               | Winery      | Province     |
|:-----------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------|:----------|:---------------------|:------------|:-------------|
| Kamiak 2014 Unoaked Chardonnay (Columbia Valley (WA))                  | This straightforward wine has notes of fresh apple and pear. The flavors are light in style, seeming a bit dilute.                                                                                  | Chardonnay | US        | Columbia Valley (WA) | Kamiak      | Washington   |
| Corvidae 2013 Mirth Chardonnay (Columbia Valley (WA))                  | This lightly aromatic wine conveys ripe red apple, pear, and star fruit. The fruit flavors are centered in a ball in the middle, offering plenty of appeal if not much complexity.                  | Chardonnay | US        | Columbia Valley (WA) | Corvidae    | Washington   |
| Duval-Leroy 2005 Blanc de Blancs Brut Millesimé Chardonnay (Champagne) | A soft, rich wine with delicious flavors of pear and red apples, lifted by pineapple acidity. It is ripe, but still young, with touches of yeast and almond. It will age well over the medium-term. | Chardonnay | France    | Champagne            | Duval-Leroy | Champagne    |
| Bougrier 2016 Alain de la Treille Chardonnay (Vin de France)           | This broad wine has apple and pear flavors and a smooth texture. It's all ripe and creamy fruit, with well-balanced acidity.                                                                        | Chardonnay | France    | Vin de France        | Bougrier    | France Other |
| Jaffelin NV Brut  (Crémant de Bourgogne)                               | This is an attractive and fruity, creamy wine. Flavors of ripe apples and pear juice are boosted by the nutty suggestion of bottle age and by a tight, crisp acidity at the end.                    | Chardonnay | France    | Crémant de Bourgogne | Jaffelin    | Burgundy     |"
I'm interested in a wine from the Barossa Valley region.,"| Title                                               | Description                                                                                                                                                                                                                                                                                                                 | Variety   | Country   | Region         | Winery           | Province        |
|:----------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------|:----------|:---------------|:-----------------|:----------------|
| Maverick 2014 Breechens Shiraz (Barossa)            | It's hard to believe such a wine can come from the Barossa, a region known for size and richness. But this is part of a new wave of Aussie Shiraz—medium in body and silky in style, with moderate alcohol levels. Healthy doses of oak impart notes of hickory smoke, cedar and vanilla to the plum fruit. Drink now–2025. | Shiraz    | Australia | Barossa        | Maverick         | South Australia |
| Peter Lehmann 2014 Portrait Shiraz (Barossa Valley) | This medium-bodied Shiraz represents a solid value. Sourced from 80 growers, it's meant to present a “portrait” of the Barossa region, and it delivers vanilla, plum and black olive aromas and flavors, supple tannins and a lingering mocha finish.                                                                       | Shiraz    | Australia | Barossa Valley | Peter Lehmann    | South Australia |
| John Duval Wines 2013 Eligo Shiraz (Barossa Valley) | Full bodied, creamy and lush, this is a prototypical Barossa Valley Shiraz from a longtime master of the variety. Smoke, cedar, mulberry and eucalyptus notes mingle easily on the nose, while savory notes of roasted meat and dried herb blend seamlessly into the fruit, ending long, velvety and rich.                  | Shiraz    | Australia | Barossa Valley | John Duval Wines | South Australia |
| St Hallett 2008 Gamekeeper's Shiraz (Barossa)       | Full bodied and supple, this nicely balanced Barossa Shiraz shows that value still exists even in big-name regions of Australia. Intense blueberry and spice aromas give way to mixed berries and vanilla on the palate, and if it's not overly complex, it's a still a concentrated mouthful of Shiraz at a bargain price. | Shiraz    | Australia | Barossa        | St Hallett       | South Australia |
| Glaetzer 2013 Bishop Shiraz (Barossa Valley)        | This has gone up in price over the years, but it's still a solid, relatively affordable example of Barossa Valley Shiraz. This is youthful and edgy, with meaty, savory notes accenting mixed berries and a hint of mint. The finish is a bit chewy right now, but mouthcoating and long.                                   | Shiraz    | Australia | Barossa Valley | Glaetzer         | South Australia |"
"I'd like a sparkling wine, excluding Merlot.","| Title                                                                       | Description                                                                                                                                                                                                                           | Variety    | Country   | Region                                      | Winery         | Province           |
|:----------------------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------|:----------|:--------------------------------------------|:---------------|:-------------------|
| Ruggeri & C. NV Argeo Brut  (Prosecco Treviso)                              | Here's a crisp, no-frills sparkler that offers yellow apple and pear flavors. It's invigorating, with brisk acidity and vivacious bubbles.                                                                                            | Glera      | Italy     | Prosecco Treviso                            | Ruggeri & C.   | Veneto             |
| Case Paolin NV Brut  (Asolo Prosecco Superiore)                             | Simple tones of white fruit and crushed stone mark this sparkler. A touch of softness is offered by the creamy quality of the wine's effervescence.                                                                                   | Glera      | Italy     | Asolo Prosecco Superiore                    | Case Paolin    | Veneto             |
| Cembra NV Ororosso Dosaggio Zero Chardonnay (Trento)                        | Here's a stunning sparkling wine made in the classic method, with no added dosage. It offers citrus, melon, apple, stone fruit, minerality and walnut notes. The creamy palate is supported by crisp freshness and finishes bone-dry. | Chardonnay | Italy     | Trento                                      | Cembra         | Northeastern Italy |
| Merotto NV Colbelo Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore) | Here's a simple sparkling wine that delivers subtle tones of peach and stone fruit with a thin and transparent appearance. This expression does a nice job of presenting sweet fruit tones against fresh acidity.                     | Glera      | Italy     | Conegliano Valdobbiadene Prosecco Superiore | Merotto        | Veneto             |
| Progettidivini NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)  | This bright sparkling wine delivers a touch of sassy spice in front of softer aromas of stone fruit, white flower and dried herb. Pair this with cocktail snacks, like potato chips or green olives.                                  | Glera      | Italy     | Conegliano Valdobbiadene Prosecco Superiore | Progettidivini | Veneto             |"
Are there any red wines with a touch of earthiness and cherry undertones?,"| Title                                                      | Description                                                                                                                                                                                                                                                                                                                                                                                                     | Variety    | Country   | Region                         | Winery     | Province          |
|:-----------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------|:----------|:-------------------------------|:-----------|:------------------|
| Bolsignano 2009 Grazia  (Brunello di Montalcino)           | This earthy wine opens with aromas of meat juices, baking spices and black fruit together with notes of leather and balsam. The rich palate delivers dark red cherry layered with mint and a tad of milk chocolate alongside dusty tannins. It' well balanced and should age moderately well. Drink 2016–2024.                                                                                                  | Sangiovese | Italy     | Brunello di Montalcino         | Bolsignano | Tuscany           |
| La Gerla 2008 Gli Angeli Riserva  (Brunello di Montalcino) | Earthy aromas suggest tilled soil, leather, prune, balsam and dried cherries marinated in spirits. The palate offers ripe black cherry accented with sensations of white pepper, cinnamon, fig, black tea and a hint of chocolate. It has assertive but polished tannins and nice depth, but it already seems fully developed. Drink 2015–2023.                                                                 | Sangiovese | Italy     | Brunello di Montalcino         | La Gerla   | Tuscany           |
| Collosorbo 2010 Riserva  (Brunello di Montalcino)          | Here's an earthy wine that opens with aromas of scorched earth, leather, truffle, raspberry compote and a note of cured meat. The chewy palate offers mature Morello cherry, grilled herb, coffee, clove and anise while firm, ripe tannins provide the framework. A tobacco note closes the finish. Drink 2018–2028.                                                                                           | Sangiovese | Italy     | Brunello di Montalcino         | Collosorbo | Tuscany           |
| I Custodi 2013 Pistus Rosso  (Etna)                        | Here's an earthy wine that opens with aromas of leafy underbrush, porcini mushroom, game, mature black plum and dark berry. The palate delivers juicy dark berry, toast and allspice alongside assertive, drying tannins and a hint of licorice.                                                                                                                                                                | Red Blend  | Italy     | Etna                           | I Custodi  | Sicily & Sardinia |
| COS 2011 Delle Fontane  (Cerasuolo di Vittoria Classico)   | Earthy and delicious, this soulful red opens with aromas of sun-baked soil, leather, ripe black fruit, dark spice and a funky but pleasant whiff of game. The round, smooth tastes of juicy blackberry, wild cherry, cinnamon, black olive, cured meat and mineral framed in silky tannins. It's already enjoyable, with depth and balance but it will age well for another decade or more. Drink through 2026. | Red Blend  | Italy     | Cerasuolo di Vittoria Classico | COS        | Sicily & Sardinia |"
Is there a wine that is not too oaky?,"| Title                                                                      | Description                                                                                                                                                                                                                                                                                            | Variety                  | Country   | Region                  | Winery                | Province   |
|:---------------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------|:----------|:------------------------|:----------------------|:-----------|
| Beringer 2004 St. Helena Home Vineyard Cabernet Sauvignon (Napa Valley)    | There's a softness to this dry wine. It's forward and rich in currants and smoky oak, but could use greater acidity. The tannins also seem a little ungainly, although they could mellow out in a few years.                                                                                           | Cabernet Sauvignon       | US        | Napa Valley             | Beringer              | California |
| Château Les Bertrands 2015 Nectar Des Bertrands  (Blaye Côtes de Bordeaux) | New wood aromas lead this toasty wine that has spice, high toast flavors and the smallest hint of fruit. If the producer had not been so enthusiastic with the oak, this could have been a good wine.                                                                                                  | Bordeaux-style Red Blend | France    | Blaye Côtes de Bordeaux | Château Les Bertrands | Bordeaux   |
| Quivet Cellars 2007 Kenefick Ranch Cabernet Sauvignon (Napa Valley)        | This 100% Cabernet tastes way too oaky. Vanilla cream and caramel dominate the blackberries and black currants, giving it a woody sweetness. The question is, will it age out? The classic answer is that a wine that tastes unbalanced when young most likely always will.                            | Cabernet Sauvignon       | US        | Napa Valley             | Quivet Cellars        | California |
| Château de Camarsac 2011 Prince Noir  (Bordeaux Supérieur)                 | This wine is too toasty for its own good. It has dark tannins, high spice and bitter toastiness. There is a soapy aftertaste that only just hints at fruit.                                                                                                                                            | Bordeaux-style Red Blend | France    | Bordeaux Supérieur      | Château de Camarsac   | Bordeaux   |
| Malesan 2000 Rouge  (Bordeaux)                                             | Despite coming from a universally hailed vintage, this generic Bordeaux is still weedy, herbal and lean. But it also has decent cassis and cherry fruit, some tasty vanilla and cinnamon notes from oak aging, and a tart, dry finish. It's light, but it hasn't been dumbed down for the mass market. | Bordeaux-style Red Blend | France    | Bordeaux                | Malesan               | Bordeaux   |"
I'm looking for a red wine with a good balance between oakiness and fruitiness. Any recommendations?,"| Title                                                                       | Description                                                                                                                                                                                                                                                                                                                        | Variety   | Country   | Region               | Winery                      | Province       |
|:----------------------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------|:----------|:---------------------|:----------------------------|:---------------|
| Tassi 2004 Aquabona Red (Toscana)                                           | This bold, spicy wine will appeal to those who love modern reds with thick concentration and lingering oak-driven flavors. Black cherry, prune and ripe blueberry do come into view, but the protagonist here is the oak. The wine has chewy tannins, good length on the finish and would pair with grilled meats or aged cheeses. | Red Blend | Italy     | Toscana              | Tassi                       | Tuscany        |
| Leone de Castris 2005 Riserva Red (Salice Salentino)                        | This is an oak-heavy red wine from Southern Italy that is embellished by aromas of vanilla, toast and spice that sit heavy over a rich core of ripe fruit. The wine is firm and streamlined in the mouth and offers a hint of sour cherry on the close. This vintage represents a huge jump forward in quality compared to 2004.   | Red Blend | Italy     | Salice Salentino     | Leone de Castris            | Southern Italy |
| Donatella Cinelli Colombini 2004 Fattoria del Colle Cenerentola Red (Orcia) | This red has a wide and broad personality that encompasses aromas of black fruit, leather and tobacco. There's less fresh fruit here: the wine definitely focuses on oak-driven tones, but it is lively enough to pair with roasted meat or dishes that require a touch of juicy succulence.                                       | Red Blend | Italy     | Orcia                | Donatella Cinelli Colombini | Tuscany        |
| Tagaris 2007 Frank Chiullino Chef Blend Red Red (Columbia Valley (WA))      | This red wine, named for the chef at the winery restaurant, is fruity and high-toned, with lots of cherry and berry flavor. All neutral oak, soft tannins, ready to drink.                                                                                                                                                         | Red Blend | US        | Columbia Valley (WA) | Tagaris                     | Washington     |
| Red Theory 2012 Winemaker's Red (Columbia Valley (WA))                      | A straightforward wine with light notes of red and blue berries along with oak accents.                                                                                                                                                                                                                                            | Red Blend | US        | Columbia Valley (WA) | Red Theory                  | Washington     |"
I'm interested in trying a red wine with a bold and peppery character. Any ideas?,"| Title                                                                       | Description                                                                                                                                                                                                                                                                                                                        | Variety   | Country   | Region               | Winery                      | Province          |
|:----------------------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------|:----------|:---------------------|:----------------------------|:------------------|
| Tassi 2004 Aquabona Red (Toscana)                                           | This bold, spicy wine will appeal to those who love modern reds with thick concentration and lingering oak-driven flavors. Black cherry, prune and ripe blueberry do come into view, but the protagonist here is the oak. The wine has chewy tannins, good length on the finish and would pair with grilled meats or aged cheeses. | Red Blend | Italy     | Toscana              | Tassi                       | Tuscany           |
| Donatella Cinelli Colombini 2004 Fattoria del Colle Cenerentola Red (Orcia) | This red has a wide and broad personality that encompasses aromas of black fruit, leather and tobacco. There's less fresh fruit here: the wine definitely focuses on oak-driven tones, but it is lively enough to pair with roasted meat or dishes that require a touch of juicy succulence.                                       | Red Blend | Italy     | Orcia                | Donatella Cinelli Colombini | Tuscany           |
| Crane Brothers 2005 Crane Ranch Vineyard Brodacious Red (Napa Valley)       | Here's a powerfully fruity Napa red wine to drink tonight with roasts, cheeses, or just a nice burger. It's full-bodied, dry and rich in tannins, with black currant, anise, dark chocolate and smoky oak flavors. A blend of Bordeaux varieties and Syrah.                                                                        | Red Blend | US        | Napa Valley          | Crane Brothers              | California        |
| Cantina Santadi 2011 Noras  (Carignano del Sulcis)                          | This robust red opens with aromas of ripe black-skinned fruit, scorched earth and dark cooking spice. The warm, forward palate offers black cherry marinated in spirits and licorice accompanied by ripe, velvety tannins. Unfortunately, the heat of searing alcohol throws it off balance and dominates the palate.              | Red Blend | Italy     | Carignano del Sulcis | Cantina Santadi             | Sicily & Sardinia |
| Crane Brothers 2006 Brodatious Crane Ranch Vineyard Red (Napa Valley)       | A Bordeaux blend with a little Syrah, this red wine is dry and rich in currant and cedar flavors. But it's a little sharp and green in tannins, with a tart mouthfeel. A good steak will help, but it's not really an ager, so drink up.                                                                                           | Red Blend | US        | Napa Valley          | Crane Brothers              | California        |"
What's a light-bodied white wine?,"| Title                                                                                 | Description                                                                                                                                                                                                                        | Variety                    | Country   | Region            | Winery                    | Province           |
|:--------------------------------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------------------|:----------|:------------------|:--------------------------|:-------------------|
| Adalia 2015 Singan  (Soave)                                                           | Here's a light-bodied casual wine that has subdued aromas suggesting white flower, orchard fruit and a hint of almond. You can find traces of the nose on the extremely simple diluted palate.                                     | White Blend                | Italy     | Soave             | Adalia                    | Veneto             |
